Year,Amtrak,Rail Transit,Commuter Rail,Heavy Rail,Light Rail
1984,510,1822.0,,,
1985,503,1895.0,,,
1986,491,1920.0,,,
1987,487,2164.0,,,
1988,498,2027.0,,,
1989,504,2143.0,,,
1990,516,2169.0,,,
1991,523,2192.0,,,
1992,524,2240.0,,,
1993,535,2286.0,,,
1994,540,2376.0,,,
1995,530,2382.0,,,
1996,542,2325.0,,,
1997,516,2391.0,864.0,997.0,530.0
1998,508,2524.0,972.0,997.0,555.0
1999,510,2567.0,979.0,1004.0,584.0
2000,515,2595.0,983.0,1009.0,603.0
2001,512,2621.0,986.0,1019.0,613.0
2002,515,2784.0,1143.0,994.0,640.0
2003,514,2679.0,1071.0,1057.0,541.0
2004,529,2909.0,1153.0,1023.0,723.0
2005,531,2946.0,1164.0,1042.0,730.0
2006,510,2985.0,1169.0,1042.0,764.0
2007,508,2997.0,1172.0,1042.0,773.0
2008,510,3027.0,1189.0,1041.0,787.0
2009,511,3101.0,1214.0,1041.0,836.0
2010,512,3124.0,1225.0,1041.0,848.0
2011,511,3165.0,1219.0,1041.0,895.0
2012,512,3216.0,1234.0,1044.0,928.0
2013,516,3227.0,1232.0,1044.0,941.0
2014,518,3355.0,1245.0,1130.0,969.0
2015,521,3301.0,1246.0,1051.0,993.0
2016,525,3381.0,1261.0,1051.0,1058.0
2017,527,3399.0,1262.0,1054.0,1072.0
2018,526,3448.0,1280.0,1054.0,1106.0
2019,526,3630.0,1300.0,1055.0,1267.0
2020,526,3663.0,1311.0,1057.0,1287.0
2021,526,3801.0,1392.0,1055.0,1346.0
2022,528,3792.0,1315.0,1055.0,1414.0
2023,528,,,,
