Fiscal Year,Total
1971,40.00
1972,40.00
1973,170.00
1974,140.00
1975,276.50
1976,651.20
1977,800.70
1978,1116.00
1979,1269.00
1980,1244.40
1981,1256.30
1982,905.00
1983,895.00
1984,816.40
1985,711.60
1986,602.70
1987,624.00
1988,608.40
1989,603.60
1990,629.10
1991,815.10
1992,856.00
1993,891.10
1994,908.70
1995,972.00
1996,750.00
1997,843.00
1998,1686.00
1999,1701.20
2000,571.00
2001,520.30
2002,831.50
2003,1043.20
2004,1217.80
2005,1207.30
2006,1293.60
2007,1293.60
2008,1325.00
2009,1490.00
2010,1565.00
2011,1483.70
2012,1418.00
2013,1344.00
2014,1390.00
2015,1390.00
2016,1385.00
2017,1480.52
2018,1919.89
2019,1924.89
2020,3001.00
2021,4678.97
2022,2318.71
2023,2432.74
2024,2407.62
