State,Station,Fiscal Year,Note,Value
Alabama,"Tuscaloosa, Alabama",2005,,4904
Alabama,"Mobile, Alabama",2005,,570
Alabama,"Birmingham, Alabama",2005,,16558
Alabama,"Atmore, Alabama",2005,,115
Alabama,"Anniston, Alabama",2005,,2419
Alabama,"Tuscaloosa, Alabama",2010,,12533
Alabama,"Birmingham, Alabama",2010,,45089
Alabama,"Anniston, Alabama",2010,,5955
Alabama,"Tuscaloosa, Alabama",2011,,12032
Alabama,"Birmingham, Alabama",2011,,48196
Alabama,"Anniston, Alabama",2011,,6694
Alabama,"Tuscaloosa, Alabama",2012,,12290
Alabama,"Birmingham, Alabama",2012,,48734
Alabama,"Anniston, Alabama",2012,,6209
Alabama,"Tuscaloosa, Alabama",2013,,11598
Alabama,"Birmingham, Alabama",2013,,48759
Alabama,"Anniston, Alabama",2013,,5835
Alabama,"Tuscaloosa, Alabama",2014,,11360
Alabama,"Birmingham, Alabama",2014,,46610
Alabama,"Anniston, Alabama",2014,,5200
Alabama,"Tuscaloosa, Alabama",2015,,10922
Alabama,"Birmingham, Alabama",2015,,44985
Alabama,"Anniston, Alabama",2015,,5085
Alabama,"Tuscaloosa, Alabama",2016,,10594
Alabama,"Birmingham, Alabama",2016,,42930
Alabama,"Anniston, Alabama",2016,,4871
Alabama,"Tuscaloosa, Alabama",2017,,10571
Alabama,"Birmingham, Alabama",2017,,42512
Alabama,"Anniston, Alabama",2017,,4255
Alabama,"Tuscaloosa, Alabama",2018,,10228
Alabama,"Birmingham, Alabama",2018,,40585
Alabama,"Anniston, Alabama",2018,,3833
Alabama,"Tuscaloosa, Alabama",2019,,9323
Alabama,"Birmingham, Alabama",2019,,37605
Alabama,"Anniston, Alabama",2019,,4244
Alabama,"Tuscaloosa, Alabama",2020,,4871
Alabama,"Birmingham, Alabama",2020,,17474
Alabama,"Anniston, Alabama",2020,,2369
Alabama,"Tuscaloosa, Alabama",2021,,3720
Alabama,"Birmingham, Alabama",2021,,14935
Alabama,"Anniston, Alabama",2021,,1948
Alabama,"Tuscaloosa, Alabama",2022,,5389
Alabama,"Birmingham, Alabama",2022,,21211
Alabama,"Anniston, Alabama",2022,,2486
Arizona,"Williams Junction, Arizona",2018,Service discontinued as of 1/1/18,2032
Arizona,"Yuma, Arizona",2005,,877
Arizona,"Winslow, Arizona",2005,,1378
Arizona,"Williams Junction, Arizona",2005,,2889
Arizona,"Tucson, Arizona",2005,,6880
Arizona,"Maricopa, Arizona",2005,,3023
Arizona,"Kingman, Arizona",2005,,3142
Arizona,"Flagstaff, Arizona",2005,,17370
Arizona,"Benson, Arizona",2005,,537
Arizona,"Yuma, Arizona",2010,,3676
Arizona,"Winslow, Arizona",2010,,5274
Arizona,"Williams Junction, Arizona",2010,,7642
Arizona,"Tucson, Arizona",2010,,21095
Arizona,"Maricopa, Arizona",2010,,8764
Arizona,"Kingman, Arizona",2010,,10160
Arizona,"Flagstaff, Arizona",2010,,41775
Arizona,"Benson, Arizona",2010,,1091
Arizona,"Yuma, Arizona",2011,,3386
Arizona,"Winslow, Arizona",2011,,5399
Arizona,"Williams Junction, Arizona",2011,,7646
Arizona,"Tucson, Arizona",2011,,23340
Arizona,"Maricopa, Arizona",2011,,9819
Arizona,"Kingman, Arizona",2011,,10944
Arizona,"Flagstaff, Arizona",2011,,41252
Arizona,"Benson, Arizona",2011,,1208
Arizona,"Yuma, Arizona",2012,,4011
Arizona,"Winslow, Arizona",2012,,5034
Arizona,"Williams Junction, Arizona",2012,,7487
Arizona,"Tucson, Arizona",2012,,23896
Arizona,"Maricopa, Arizona",2012,,10804
Arizona,"Kingman, Arizona",2012,,10768
Arizona,"Flagstaff, Arizona",2012,,41014
Arizona,"Benson, Arizona",2012,,1367
Arizona,"Yuma, Arizona",2013,,3891
Arizona,"Winslow, Arizona",2013,,4625
Arizona,"Williams Junction, Arizona",2013,,6944
Arizona,"Tucson, Arizona",2013,,25921
Arizona,"Maricopa, Arizona",2013,,12945
Arizona,"Kingman, Arizona",2013,,10523
Arizona,"Flagstaff, Arizona",2013,,40390
Arizona,"Benson, Arizona",2013,,1833
Arizona,"Yuma, Arizona",2014,,3772
Arizona,"Winslow, Arizona",2014,,4428
Arizona,"Williams Junction, Arizona",2014,,6025
Arizona,"Tucson, Arizona",2014,,27917
Arizona,"Maricopa, Arizona",2014,,12729
Arizona,"Kingman, Arizona",2014,,9765
Arizona,"Flagstaff, Arizona",2014,,39183
Arizona,"Benson, Arizona",2014,,1961
Arizona,"Yuma, Arizona",2015,,4296
Arizona,"Winslow, Arizona",2015,,5074
Arizona,"Williams Junction, Arizona",2015,,6738
Arizona,"Tucson, Arizona",2015,,28682
Arizona,"Maricopa, Arizona",2015,,12162
Arizona,"Kingman, Arizona",2015,,10794
Arizona,"Flagstaff, Arizona",2015,,40800
Arizona,"Benson, Arizona",2015,,2073
Arizona,"Yuma, Arizona",2016,,4576
Arizona,"Winslow, Arizona",2016,,4481
Arizona,"Williams Junction, Arizona",2016,,8051
Arizona,"Tucson, Arizona",2016,,27301
Arizona,"Maricopa, Arizona",2016,,11250
Arizona,"Kingman, Arizona",2016,,9904
Arizona,"Flagstaff, Arizona",2016,,41053
Arizona,"Benson, Arizona",2016,,2013
Arizona,"Yuma, Arizona",2017,,4605
Arizona,"Winslow, Arizona",2017,,4187
Arizona,"Williams Junction, Arizona",2017,,9672
Arizona,"Tucson, Arizona",2017,,29146
Arizona,"Maricopa, Arizona",2017,,11849
Arizona,"Kingman, Arizona",2017,,9944
Arizona,"Flagstaff, Arizona",2017,,39803
Arizona,"Benson, Arizona",2017,,2036
Arizona,"Yuma, Arizona",2018,,4525
Arizona,"Winslow, Arizona",2018,,4345
Arizona,"Tucson, Arizona",2018,,28183
Arizona,"Maricopa, Arizona",2018,,11744
Arizona,"Kingman, Arizona",2018,,9065
Arizona,"Flagstaff, Arizona",2018,,43421
Arizona,"Benson, Arizona",2018,,1939
Arizona,"Yuma, Arizona",2019,,4285
Arizona,"Winslow, Arizona",2019,,4371
Arizona,"Tucson, Arizona",2019,,25695
Arizona,"Maricopa, Arizona",2019,,11194
Arizona,"Kingman, Arizona",2019,,8691
Arizona,"Flagstaff, Arizona",2019,,43453
Arizona,"Benson, Arizona",2019,,1947
Arizona,"Yuma, Arizona",2020,,3366
Arizona,"Winslow, Arizona",2020,,2437
Arizona,"Tucson, Arizona",2020,,15715
Arizona,"Maricopa, Arizona",2020,,7843
Arizona,"Kingman, Arizona",2020,,5536
Arizona,"Flagstaff, Arizona",2020,,20981
Arizona,"Benson, Arizona",2020,,1218
Arizona,"Winslow, Arizona",2021,,1773
Arizona,"Tucson, Arizona",2021,,14567
Arizona,"Maricopa, Arizona",2021,,8251
Arizona,"Kingman, Arizona",2021,,4567
Arizona,"Flagstaff, Arizona",2021,,16693
Arizona,"Benson, Arizona",2021,,1224
Arizona,"Yuma, Arizona",2022,,4403
Arizona,"Winslow, Arizona",2022,,2652
Arizona,"Tucson, Arizona",2022,,19115
Arizona,"Maricopa, Arizona",2022,,10520
Arizona,"Kingman, Arizona",2022,,6919
Arizona,"Flagstaff, Arizona",2022,,25499
Arizona,"Benson, Arizona",2022,,1743
Arkansas,"Walnut Ridge, Arkansas",2005,,1343
Arkansas,"Texarkana, Arkansas",2005,,2983
Arkansas,"Malvern, Arkansas",2005,,779
Arkansas,"Little Rock, Arkansas",2005,,7290
Arkansas,"Arkadelphia, Arkansas",2005,,481
Arkansas,"Walnut Ridge, Arkansas",2010,,4565
Arkansas,"Texarkana, Arkansas",2010,,7867
Arkansas,"Malvern, Arkansas",2010,,1833
Arkansas,"Little Rock, Arkansas",2010,,22218
Arkansas,"Arkadelphia, Arkansas",2010,,1486
Arkansas,"Walnut Ridge, Arkansas",2011,,4311
Arkansas,"Texarkana, Arkansas",2011,,8646
Arkansas,"Malvern, Arkansas",2011,,1750
Arkansas,"Little Rock, Arkansas",2011,,23336
Arkansas,"Arkadelphia, Arkansas",2011,,1574
Arkansas,"Walnut Ridge, Arkansas",2012,,4766
Arkansas,"Texarkana, Arkansas",2012,,8849
Arkansas,"Malvern, Arkansas",2012,,2105
Arkansas,"Little Rock, Arkansas",2012,,24036
Arkansas,"Arkadelphia, Arkansas",2012,,1602
Arkansas,"Walnut Ridge, Arkansas",2013,,4731
Arkansas,"Texarkana, Arkansas",2013,,8903
Arkansas,"Malvern, Arkansas",2013,,2101
Arkansas,"Little Rock, Arkansas",2013,,22351
Arkansas,"Hope, Arkansas",2013,,1310
Arkansas,"Arkadelphia, Arkansas",2013,,1787
Arkansas,"Walnut Ridge, Arkansas",2014,,4046
Arkansas,"Texarkana, Arkansas",2014,,7853
Arkansas,"Malvern, Arkansas",2014,,1896
Arkansas,"Little Rock, Arkansas",2014,,19652
Arkansas,"Hope, Arkansas",2014,,1911
Arkansas,"Arkadelphia, Arkansas",2014,,1527
Arkansas,"Walnut Ridge, Arkansas",2015,,3738
Arkansas,"Texarkana, Arkansas",2015,,6894
Arkansas,"Malvern, Arkansas",2015,,1760
Arkansas,"Little Rock, Arkansas",2015,,19676
Arkansas,"Hope, Arkansas",2015,,1612
Arkansas,"Arkadelphia, Arkansas",2015,,1308
Arkansas,"Walnut Ridge, Arkansas",2016,,3345
Arkansas,"Texarkana, Arkansas",2016,,6207
Arkansas,"Malvern, Arkansas",2016,,1729
Arkansas,"Little Rock, Arkansas",2016,,18333
Arkansas,"Hope, Arkansas",2016,,1608
Arkansas,"Arkadelphia, Arkansas",2016,,1177
Arkansas,"Walnut Ridge, Arkansas",2017,,3486
Arkansas,"Texarkana, Arkansas",2017,,6231
Arkansas,"Malvern, Arkansas",2017,,1688
Arkansas,"Little Rock, Arkansas",2017,,20574
Arkansas,"Hope, Arkansas",2017,,1691
Arkansas,"Arkadelphia, Arkansas",2017,,1390
Arkansas,"Walnut Ridge, Arkansas",2018,,3421
Arkansas,"Texarkana, Arkansas",2018,,6133
Arkansas,"Malvern, Arkansas",2018,,1693
Arkansas,"Little Rock, Arkansas",2018,,19406
Arkansas,"Hope, Arkansas",2018,,1650
Arkansas,"Arkadelphia, Arkansas",2018,,1433
Arkansas,"Walnut Ridge, Arkansas",2019,,2878
Arkansas,"Texarkana, Arkansas",2019,,5214
Arkansas,"Malvern, Arkansas",2019,,1598
Arkansas,"Little Rock, Arkansas",2019,,17755
Arkansas,"Hope, Arkansas",2019,,1579
Arkansas,"Arkadelphia, Arkansas",2019,,1389
Arkansas,"Walnut Ridge, Arkansas",2020,,1975
Arkansas,"Texarkana, Arkansas",2020,,3420
Arkansas,"Malvern, Arkansas",2020,,1038
Arkansas,"Little Rock, Arkansas",2020,,10538
Arkansas,"Hope, Arkansas",2020,,1013
Arkansas,"Arkadelphia, Arkansas",2020,,811
Arkansas,"Walnut Ridge, Arkansas",2021,,1565
Arkansas,"Texarkana, Arkansas",2021,,3135
Arkansas,"Malvern, Arkansas",2021,,878
Arkansas,"Little Rock, Arkansas",2021,,8439
Arkansas,"Hope, Arkansas",2021,,779
Arkansas,"Arkadelphia, Arkansas",2021,,587
Arkansas,"Walnut Ridge, Arkansas",2022,,2340
Arkansas,"Texarkana, Arkansas",2022,,4814
