Station code,Location,State or province,Opened
ABE,Aberdeen,MD,1898
ALY,Albany,OR,1977
ALB,Rensselaer,NY,1968
ALI,Albion,MI,1882
ABQ,Albuquerque,NM,2008
AST,Aldershot,ON,1855
ALD,Alderson,WV,1896
ALX,Alexandria,VA,1905
ALC,Alliance,OH,1990
ALP,Alpine,TX,1946
ALN,Alton,IL,1928
ALT,Altoona,PA,1986
AMS,Amsterdam,NY,1970
ANA,Anaheim,CA,2014
ARB,Ann Arbor,MI,1983
ATN,Anniston,AL,1879
ACA,Antioch,CA,1984
ACD,Ironton,MO,2016
ADM,Ardmore,OK,1909
ARD,Ardmore,PA,1870
ARK,Arkadelphia,AR,1917
AKY,Ashland,KY,1998
ASD,Ashland,VA,1866
ATL,Atlanta,GA,1918
ARN,Auburn,CA,1865
AUS,Austin,TX,1947
BFD,Bakersfield,CA,1899
BAL,Baltimore,MD,1911
BAM,Bangor,MI,1926
BAR,Barstow,CA,1911
BTL,Battle Creek,MI,1982
BMT,Beaumont,TX,1861
BEL,Bellingham,WA,1995
BLF,Bellows Falls,VT,"1849, 1972, 1989"
BEN,Benson,AZ,1880
BKY,Berkeley,CA,1913
BER,Berlin,CT,1839
BNG,Bingen,WA,1981
BHM,Birmingham,AL,1960
BNL,Normal,IL,1990
BBY,Boston,MA,1860
BON,Boston,MA,1928
BOS,Boston,MA,1899
BRA,Brattleboro,VT,1915
BRP,Bridgeport,CT,"1840, 1849"
BRH,Brookhaven,MS,1907
BRO,Browning,MT,1973
BRK,Brunswick,ME,2012
BYN,Bryan,OH,1869
BUF,Depew,NY,1979
BFX,Buffalo,NY,1952
BUR,Burbank,CA,1983
BBK,Burbank,CA,1992
BCV,Burke,VA,1992
BRL,Burlington,IA,1944
BNC,Burlington,NC,2003
BTN,Burlington,VT,2022
BWI,Linthicum,MD,1980
CML,Camarillo,CA,1995
CAM,Camden,SC,1937
CDL,Carbondale,IL,1988
CRV,Carlinville,IL,—
CPN,Carpinteria,CA,1997
CYN,Cary,NC,1995
CNV,Castleton,VT,2010
CEN,Centralia,IL,1853
CTL,Centralia,WA,1912
CHM,Champaign,IL,1999
CHS,North Charleston,SC,2018
CHW,Charleston,WV,1905
CLT,Charlotte,NC,1962
CVS,Charlottesville,VA,1885
CWT,Chatsworth,CA,1982
CMO,Chemult,OR,1980
CHI,Chicago,IL,1925
CIC,Chico,CA,1892
CIN,Cincinnati,OH,1935
CLA,Claremont,NH,1920
CBR,Cleburne,TX,1898
CSN,Clemson,SC,1918
CLE,Cleveland,OH,1975
CLF,Clifton Forge,VA,1857
COT,Coatesville,PA,1868
CNL,Allensworth,CA,—
COX,Colfax,CA,1905
CLB,Columbia,SC,1991
CBS,Columbus,WI,1906
COV,Connellsville,PA,2011
COI,Connersville,IN,1914
COC,Corcoran,CA,1989
CWH,Cornwells Heights,PA,—
CRF,Crawfordsville,IN,1980
CRN,Creston,IA,1899
CRT,Croton-on-Hudson,NY,1913
CLP,Culpeper,VA,—
CUM,Cumberland,MD,—
CUT,Cut Bank,MT,1939
DAL,Dallas,TX,1916
DAN,Danville,VA,1899
DAV,Davis,CA,1868
DER,Dearborn,MI,2014
DFB,Deerfield Beach,FL,1926
DRT,Del Rio,TX,1876
DLD,DeLand,FL,1918
DLB,Delray Beach,FL,1991
DEM,Deming,NM,1881
DNK,Denmark,SC,1978
DEN,Denver,CO,1881
DET,Detroit,MI,1994
DLK,Detroit Lakes,MN,1908
DVL,Devils Lake,ND,1907
DIL,Dillon,SC,1904
DDG,Dodge City,KS,1896
DOV,Dover,NH,2001
DOA,Dowagiac,MI,1848
DOW,Downingtown,PA,19th Century
DQN,Du Quoin,IL,1989
DUN,Dunsmuir,CA,—
DRD,Durand,MI,1903
DNC,Durham,NC,1990
DHM,Durham,NH,2001
DWT,Dwight,IL,2016
DYE,Dyer,IN,—
GPK,East Glacier Park,MT,1913
LNS,East Lansing,MI,1974
EDM,Edmonds,WA,1957
EFG,Effingham,IL,—
ELP,El Paso,TX,1906
ELT,Elizabethtown,PA,1915
EKH,Elkhart,IN,1900
